0,3
1,4
2,4
3,2
4,4
5,5
6,1
7,2
8,3
9,5
10,3
11,5
12,2
13,5
14,5
15,2
16,3
17,3
18,2
19,3
20,3
21,5
22,4
23,5
24,2
25,2
26,3
27,4
28,3
29,1
30,1
31,1
32,2
33,2
34,4
35,2
36,4
37,4
38,5
39,4
40,2
41,4
42,2
43,2
44,2
45,1
46,5
47,3
48,5
49,2
50,5
51,2
52,4
53,3
54,1
55,1
56,5
57,3
58,3
59,3
60,2
61,1
62,1
63,5
64,2
65,2
66,4
67,3
68,3
69,3
70,3
71,5
72,3
73,4
74,4
75,4
76,3
77,5
78,1
79,4
80,3
81,1
82,5
83,3
84,1
85,5
86,4
87,4
88,3
89,2
90,4
91,1
92,4
93,5
94,4
95,3
96,3
97,2
98,2
99,1
