0,4
1,4
2,3
3,5
4,5
5,4
6,4
7,1
8,4
9,4
10,1
11,1
12,4
13,5
14,4
15,4
16,3
17,4
18,2
19,2
20,4
21,4
22,1
23,5
24,3
25,5
26,3
27,5
28,1
29,5
30,2
31,2
32,2
33,4
34,1
35,3
36,4
37,3
38,3
39,4
40,2
41,2
42,2
43,5
44,4
45,2
46,5
47,5
48,4
49,4
50,4
51,2
52,2
53,4
54,1
55,4
56,1
57,3
58,5
59,1
60,3
61,4
62,2
63,3
64,2
65,2
66,3
67,4
68,5
69,4
70,5
71,3
72,5
73,5
74,2
75,2
76,1
77,5
78,1
79,2
80,2
81,5
82,5
83,5
84,3
85,2
86,4
87,2
88,1
89,1
90,4
91,3
92,4
93,3
94,4
95,5
96,2
97,3
98,5
99,4
