0,2
1,1
2,1
3,4
4,2
5,2
6,2
7,5
8,5
9,3
10,1
11,2
12,4
13,2
14,3
15,5
16,1
17,5
18,3
19,5
20,2
21,5
22,5
23,3
24,5
25,5
26,4
27,2
28,3
29,2
30,4
31,4
32,5
33,3
34,5
35,1
36,4
37,5
38,5
39,2
40,5
41,4
42,5
43,4
44,4
45,3
46,5
47,1
48,5
49,2
50,2
51,4
52,4
53,3
54,2
55,1
56,4
57,4
58,2
59,5
60,1
61,4
62,1
63,2
64,3
65,1
66,3
67,3
68,2
69,2
70,3
71,3
72,1
73,1
74,1
75,2
76,2
77,1
78,3
79,2
80,5
81,5
82,5
83,1
84,4
85,4
86,2
87,3
88,5
89,1
90,4
91,5
92,3
93,1
94,3
95,5
96,1
97,4
98,2
99,5
